Source,Name,Marker
BIDMC,BIDMC_1,CD4
BIDMC,BIDMC_5,CD4
BIDMC,BIDMC_9,CD4
BIDMC,BIDMC_13,CD4
BIDMC,BIDMC_17,CD4
BIDMC,BIDMC_21,CD4
BIDMC,BIDMC_21,CD138
BIDMC,BIDMC_1,CD11b
BIDMC,BIDMC_1,DCSIGN
BIDMC,BIDMC_2,DCSIGN
BIDMC,BIDMC_3,DCSIGN
BIDMC,BIDMC_5,DCSIGN
BIDMC,BIDMC_6,DCSIGN
BIDMC,BIDMC_7,DCSIGN
BIDMC,BIDMC_10,DCSIGN
BIDMC,BIDMC_11,DCSIGN
BIDMC,BIDMC_12,DCSIGN
BIDMC,BIDMC_13,DCSIGN
BIDMC,BIDMC_14,DCSIGN
BIDMC,BIDMC_15,DCSIGN
BIDMC,BIDMC_16,DCSIGN
BIDMC,BIDMC_17,DCSIGN
BIDMC,BIDMC_18,DCSIGN
BIDMC,BIDMC_19,DCSIGN
BIDMC,BIDMC_20,DCSIGN
BIDMC,BIDMC_21,DCSIGN
BIDMC,BIDMC_22,DCSIGN
BIDMC,BIDMC_23,DCSIGN
BIDMC,BIDMC_24,DCSIGN
Stanford,Stanford_8,PDL1
Stanford-scan1,Stanford-scan-8,NA
Stanford_Tonsil,Stanford_Tonsil_3,CD209
Stanford_Tonsil,Stanford_Tonsil_4,CD209
Stanford_Tonsil,Stanford_Tonsil_3,CD16
Stanford_Tonsil,Stanford_Tonsil_4,CD16
Stanford_Tonsil,Stanford_Tonsil_3,PD1
Stanford_Tonsil,Stanford_Tonsil_4,PD1
Stanford_Tonsil,Stanford_Tonsil_3,pMK2
Stanford_Tonsil,Stanford_Tonsil_4,pMK2
Stanford_Tonsil,Stanford_Tonsil_3,pSTAT3
Stanford_Tonsil,Stanford_Tonsil_4,pSTAT3
Stanford_Tonsil,Stanford_Tonsil_3,TenascinC
Stanford_Tonsil,Stanford_Tonsil_4,TenascinC
Stanford_Tonsil,Stanford_Tonsil_4,CD4
Stanford_Tonsil,Stanford_Tonsil_4,SOX9
Stanford_MIBI_Colon,Stanford_MIBI_Colon_3,Mast.Cell.Tryptase_Mast.Cell.Chymase
Stanford_MIBI_Colon,Stanford_MIBI_Colon_4,CD4
Stanford_MIBI_Colon,Stanford_MIBI_Colon_5,CD4
Stanford_MIBI_Colon,Stanford_MIBI_Colon_5,CD8
Stanford_MIBI_Liver,Stanford_MIBI_Liver_5,CD31
Stanford_MIBI_Liver,Stanford_MIBI_Liver_5,CD8
Stanford_MIBI_Liver,Stanford_MIBI_Liver_4,CD3e
Stanford_MIBI_Liver,Stanford_MIBI_Liver_5,CD3e
Stanford_MIBI_LymphNode_Tile1,Stanford_MIBI_LymphNode_5_Tile1,FOXP3
Stanford_MIBI_LymphNode_Tile2,Stanford_MIBI_LymphNode_5_Tile2,FOXP3
Stanford_MIBI_LymphNode_Tile3,Stanford_MIBI_LymphNode_5_Tile3,FOXP3
Stanford_MIBI_LymphNode_Tile4,Stanford_MIBI_LymphNode_5_Tile4,FOXP3
Stanford_RareCyte_TMA,Stanford_RareCyte_TMA_CA20min,CD4
Stanford_RareCyte_TMA,Stanford_RareCyte_TMA_CA20min,PD.L1
Stanford_RareCyte_TMA,Stanford_RareCyte_TMA_CA20min,CD45RO
Stanford_RareCyte_TMA,Stanford_RareCyte_TMA_CA20min,PD.1
Stanford_RareCyte_TMA,Stanford_RareCyte_TMA_Tris10min,CD45RO
Stanford_RareCyte_LN,Stanford_RareCyte_LN_CA20min,CD45RO
RareCyte_TMA_FOV1_FOV2_0.325,Adjusted_RareCyte_TMA_CA20min,CD4
RareCyte_TMA_FOV1_FOV2_0.325,Adjusted_RareCyte_TMA_CA20min,PDL1
RareCyte_TMA_FOV1_FOV2_0.325,Adjusted_RareCyte_TMA_CA20min,CD45RO
RareCyte_TMA_FOV1_FOV2_0.325,Adjusted_RareCyte_TMA_CA20min,PD1
RareCyte_TMA_FOV1_FOV2_0.325,Adjusted_RareCyte_TMA_Tris10min,CD45RO
RareCyte_LN1_FOV1_FOV2_0.325,Adjusted_RareCyte_LN_CA20min,CD45RO
Stanford_MIBI_LymphNode,Stanford_MIBI_LymphNode_5,FOXP3
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide3,FoxP3
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide4,FoxP3
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide1,aSMA
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide2,aSMA
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide4,aSMA
Novartis_Lung_Cancer,Novartis_Lung_Cancer_slide3,Ki67
Novartis_Tonsil,Novartis_Tonsil_slide4,FoxP3